정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-04,일반인,33,1,2,0,2,0,7,1,6,0,1,0,1,0,3,0,27,0,46,0,81,1,6,0,86,0,71,0,41,0,34,3,16,0,22,0,75,0,109,1,0,0,0,0,0,0,0,0,
정석항공과학고,37168,1601,인하대후문 - 인하대정문,2023-04,청소년,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,4,0,1,0,3,0,7,0,4,0,1,0,0,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,일반인,0,0,23,4,36,15,88,33,133,130,123,92,191,95,209,94,275,120,337,121,550,118,563,137,713,175,699,266,758,436,429,249,350,220,458,230,242,188,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,어린이,0,0,0,0,0,0,26,0,2,0,0,0,0,0,1,0,0,5,1,3,3,0,6,2,6,1,3,5,6,0,4,12,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,청소년,0,0,3,0,2,2,15,13,13,116,4,7,6,11,34,7,28,8,31,10,56,7,206,15,174,23,139,21,116,16,88,17,62,12,36,7,24,2,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,경로,0,0,0,0,2,0,0,0,12,0,6,0,3,0,3,2,6,8,7,10,3,8,6,3,4,4,0,2,1,4,1,3,1,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,장애인,0,0,0,0,0,0,0,0,3,1,0,1,1,1,1,0,1,0,2,6,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,27,항동7가버스차고지 - 항동7가버스차고지,2023-04,국가유공자,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,일반인,0,0,141,4,676,20,1131,44,961,154,855,109,885,52,1080,55,1253,75,1141,78,1306,77,1402,84,1522,108,1453,86,1310,137,778,120,690,120,669,167,591,223,205,64,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,어린이,0,0,0,0,0,0,0,17,3,26,0,3,0,0,0,0,1,0,2,0,0,1,9,0,2,1,3,0,2,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,청소년,0,0,10,0,10,0,13,33,28,411,21,12,38,7,69,8,77,10,77,0,107,1,619,9,475,5,309,11,229,5,167,4,71,6,77,3,49,1,20,7,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,경로,0,0,14,0,6,0,7,3,48,1,18,2,18,4,21,1,25,2,22,2,21,2,19,4,25,0,9,1,8,0,8,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,장애인,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
정석항공과학고,37168,511,독배로317번길(삼거리) - SK스카이뷰,2023-04,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
