정류장명,정류장번호,노선,기종점,일자,이용자유형,04(승차),04(하차),05(승차),05(하차),06(승차),06(하차),07(승차),07(하차),08(승차),08(하차),09(승차),09(하차),10(승차),10(하차),11(승차),11(하차),12(승차),12(하차),13(승차),13(하차),14(승차),14(하차),15(승차),15(하차),16(승차),16(하차),17(승차),17(하차),18(승차),18(하차),19(승차),19(하차),20(승차),20(하차),21(승차),21(하차),22(승차),22(하차),23(승차),23(하차),00(승차),00(하차),01(승차),01(하차),02(승차),02(하차),03(승차),03(하차),
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,일반인,0,0,3,5,9,20,15,50,31,102,39,75,55,52,41,25,81,70,93,59,95,32,151,45,230,51,253,60,156,89,83,49,60,49,92,46,80,63,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,3,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,청소년,0,0,0,0,0,0,0,1,1,17,3,8,7,8,7,5,18,11,15,13,10,5,9,5,23,3,19,8,10,5,4,7,11,6,8,1,5,3,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,경로,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,2,1,0,0,2,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,장애인,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,12,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,111-2,동춘동차고지 - 동춘동차고지,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,일반인,1,0,11,1,12,2,13,9,8,39,20,26,25,23,29,13,42,22,72,22,68,13,63,24,127,24,100,28,107,28,66,25,54,6,59,8,38,13,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,0,1,0,2,0,3,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,청소년,0,0,1,0,0,0,0,0,1,3,0,1,3,4,2,0,7,6,5,0,12,2,21,3,27,1,19,5,16,7,20,0,23,1,16,0,8,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,경로,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,장애인,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,46,신흥교통입구 - 신흥교통입구,2023-01,국가유공자,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-01,일반인,0,0,0,0,10,0,6,4,5,8,16,5,25,5,10,7,32,14,47,18,30,15,40,14,91,24,88,15,50,23,48,15,35,18,32,8,29,4,7,5,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-01,어린이,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-01,청소년,0,0,1,0,0,0,0,1,1,2,2,0,0,6,2,0,5,8,6,2,3,3,13,1,27,7,22,1,9,2,12,6,8,2,4,0,5,1,0,1,0,0,0,0,0,0,0,0,
인하대정문,37099,5,신명아파트.대우3차아파트 - 늘푸른벽산.서강2차,2023-01,경로,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
